TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
IND Pacers,-7.5,O 254.5,−475,−110,−120
MIL Bucks,+7.5,U 254.5,+350,−120,−110
TOR Raptors,-1.5,O 218.5,−115,−110,−120
NY Knicks,+1.5,U 218.5,−115,−120,−110
NO Pelicans,+3.5,O 212.5,+150,−120,−120
CLE Cavaliers,-3.5,U 212.5,−185,−110,−110
GS Warriors,+2.5,O 245.5,+105,−120,−110
WAS Wizards,-2.5,U 245.5,−135,−110,−120
MIA Heat,+7.5,O 230.5,+235,−120,−110
ATL Hawks,-7.5,U 230.5,−300,−110,−120
UTA Jazz,+4,O 231.5,+145,−110,−110
MIN Timberwolves,-4,U 231.5,−170,−110,−110
PHO Suns,+10.5,O 229.5,+410,−110,−110
MEM Grizzlies,-10.5,U 229.5,−520,−110,−110
HOU Rockets,+4,O 233,+145,−110,−110
LA Lakers,-4,U 233,−170,−110,−110
